# 1000
radius mass density pressure H He CO Fe
50000000.0 6.283185307179587e+31 20000000.0 1e+25 1e-10 1e-10 1e-10 1.0
150324972.82763606 1.9013170501397136e+32 6652254.653301077 3.326127326650538e+24 1e-10 1e-10 1e-10 1.0
251302003.45731825 3.1991374839147615e+32 3979275.876206225 1.9896379381031124e+24 1e-10 1e-10 1.0 1e-10
352935329.9104008 4.522156967557128e+32 2833380.268996783 1.4166901344983915e+24 1e-10 1e-10 1.0 1e-10
455229217.7530737 5.870757902123754e+32 2196695.5568797034 1.0983477784398517e+24 1e-10 1e-10 1.0 1e-10
558187960.275389 7.245328025140252e+32 1791511.2312824475 8.957556156412237e+23 1e-10 1e-10 1.0 1e-10
661815878.6714509 8.646260482466316e+30 15109.942692934927 7.554971346467463e+21 1e-10 1.0 1e-10 1e-10
766117322.2207768 1.0073953901113068e+31 13052.831087296883 6.526415543648442e+21 1e-10 1.0 1e-10 1e-10
871096668.4708376 1.1528812463024902e+31 11479.78216648957 5.739891083244785e+21 1e-10 1.0 1e-10 1e-10
976758323.4207838 1.301124597983851e+31 10237.947054270493 5.118973527135247e+21 1e-10 1.0 1e-10 1e-10
1083106721.7063658 1.4521669968631853e+31 9232.700526727074 4.616350263363537e+21 1e-10 1.0 1e-10 1e-10
1190146326.7860565 1.606050572867619e+31 8402.328163297874 4.201164081648937e+21 1e-10 1.0 1e-10 1e-10
1297881631.1283827 1.7628180419204261e+31 7704.862878216377 3.8524314391081884e+21 1e-10 1.0 1e-10 1e-10
1406317156.4004765 1.9225127138208047e+31 7110.771531505303 3.5553857657526514e+21 1e-10 1.0 1e-10 1e-10
1515457453.6578474 2.0851785002279497e+31 6598.66760090366 3.29933380045183e+21 1e-10 1.0 1e-10 1e-10
1625307103.5353937 2.2508599227508177e+31 6152.683377958442 3.076341688979221e+21 1e-10 1.0 1e-10 1e-10
1735870716.439651 2.41960212114494e+31 5760.7976822781175 2.8803988411390587e+21 1e-10 1.0 1e-10 1e-10
1847152932.7422912 2.591450861617721e+31 5413.736904368799 2.7068684521843993e+21 1e-10 1.0 1e-10 1e-10
1959158422.9748807 2.766452545243621e+31 5104.23245140917 2.552116225704585e+21 1e-10 1.0 1e-10 1e-10
2071891888.0249033 2.9446542164906888e+31 4826.506661760627 2.4132533308803137e+21 1e-10 1.0 1e-10 1e-10
2185358059.3330564 3.1261035718598896e+31 4575.909177579747 2.2879545887898736e+21 1e-10 1.0 1e-10 1e-10
2299561699.0918303 3.310848968638718e+31 4348.654791019225 2.1743273955096123e+21 1e-10 1.0 1e-10 1e-10
2414507600.4453793 3.498939433770599e+31 4141.631195592593 2.0708155977962965e+21 1e-10 1.0 1e-10 1e-10
2530200587.690688 3.6904246728415816e+31 3952.255820605508 1.976127910302754e+21 1e-10 1.0 1e-10 1e-10
2646645516.480053 3.885355079185901e+31 3778.3677253838105 1.8891838626919051e+21 1e-10 1.0 1e-10 1e-10
2763847274.024869 4.083781743111919e+31 3618.144929346056 1.809072464673028e+21 1e-10 1.0 1e-10 1e-10
2881810779.3007503 4.285756461250077e+31 3470.040459223497 1.7350202296117483e+21 1e-10 1.0 1e-10 1e-10
3000540983.2539787 4.491331746024412e+31 3332.732349203028 1.666366174601514e+21 1e-10 1.0 1e-10 1e-10
3120042869.0092964 4.700560835249313e+31 3205.084167056745 1.6025420835283725e+21 1e-10 1.0 1e-10 1e-10
3240321452.079049 4.913497701853103e+31 3086.1135686349317 1.5430567843174658e+21 1e-10 1.0 1e-10 1e-10
3361381780.5736866 5.130197063730165e+31 2974.9670381962083 1.487483519098104e+21 1e-10 1.0 1e-10 1e-10
3483228935.4136333 5.350714393723268e+31 2870.8994399796748 1.4354497199898375e+21 1e-10 1.0 1e-10 1e-10
3605868030.542535 5.575105929737796e+31 2773.2573447773707 1.3866286723886854e+21 1e-10 1.0 1e-10 1e-10
3729304213.1418915 5.8034286849896545e+31 2681.46534272009 1.3407326713600452e+21 1e-10 1.0 1e-10 1e-10
3853542663.847087 6.035740458388552e+31 2595.014736392395 1.2975073681961976e+21 1e-10 1.0 1e-10 1e-10
3978588596.964818 6.272099845058482e+31 2513.454144926869 1.2567270724634345e+21 1e-10 1.0 1e-10 1e-10
4104447260.6919417 6.512566246997169e+31 2436.3816525965453 1.2181908262982726e+21 1e-10 1.0 1e-10 1e-10
4231123937.335744 6.757199883876342e+31 2363.4382136054382 1.181719106802719e+21 1e-10 1.0 1e-10 1e-10
4358623943.535635 7.006061803984628e+31 2294.3020846823006 1.1471510423411503e+21 1e-10 1.0 1e-10 1e-10
4486952630.486295 7.259213895315002e+31 2228.684103339018 1.1143420516695089e+21 1e-10 1.0 1e-10 1e-10
4616115384.162258 7.5167188967986445e+31 2166.3236656322915 1.0831618328161457e+21 1e-10 1.0 1e-10 1e-10
4746117625.543967 7.778640409687133e+31 2106.9852854424075 1.0534926427212037e+21 1e-10 1.0 1e-10 1e-10
4876964810.845293 8.045042909084942e+31 2050.455639491637 1.0252278197458186e+21 1e-10 1.0 1e-10 1e-10
5008662431.742532 8.315991755634199e+31 1996.5410199387225 9.982705099693612e+20 1e-10 1.0 1e-10 1e-10
5141216015.604889 8.591553207353673e+31 1945.0651304375212 9.725325652187606e+20 1e-10 1.0 1e-10 1e-10
5274631125.726465 8.871794431634096e+31 1895.8671728201118 9.479335864100559e+20 1e-10 1.0 1e-10 1e-10
5408913361.559754 9.156783517391771e+31 1848.8001806552 9.244000903276e+20 1e-10 1.0 1e-10 1e-10
5544068358.950644 9.446589487382613e+31 1803.729563300831 9.018647816504155e+20 1e-10 1.0 1e-10 1e-10
5680101790.374959 9.741282310678712e+31 1760.5318300712831 8.802659150356416e+20 1e-10 1.0 1e-10 1e-10
5817019365.176534 1.004093291530952e+32 1719.0934690478755 8.595467345239377e+20 1e-10 1.0 1e-10 1e-10
5954826829.806835 1.0345613201069853e+32 1679.3099590982363 8.396549795491182e+20 1e-10 1.0 1e-10 1e-10
6093529968.066142 1.0655396052496918e+32 1641.0848969983192 8.205424484991596e+20 1e-10 1.0 1e-10 1e-10
6233134601.346292 1.097035535201849e+32 1604.3292243103658 8.02164612155183e+20 1e-10 1.0 1e-10 1e-10
6373646588.875004 1.1290565993274608e+32 1568.9605409648345 7.844802704824173e+20 1e-10 1.0 1e-10 1e-10
6515071827.961796 1.1616103894614962e+32 1534.9024944101718 7.674512472050859e+20 1e-10 1.0 1e-10 1e-10
6657416254.245489 1.1947046012774329e+32 1502.0842347994862 7.510421173997432e+20 1e-10 1.0 1e-10 1e-10
6800685841.9433365 1.228347035672839e+32 1470.4399280326757 7.352199640163379e+20 1e-10 1.0 1e-10 1e-10
6944886604.101753 1.2625456001732293e+32 1439.9083196108413 7.199541598054207e+20 1e-10 1.0 1e-10 1e-10
7090024592.848686 1.2973083103544268e+32 1410.432343222962 7.052161716114809e+20 1e-10 1.0 1e-10 1e-10
7236105899.64763 1.3326432912836947e+32 1381.958768802286 6.90979384401143e+20 1e-10 1.0 1e-10 1e-10
7383136655.553278 1.3685587789798587e+32 1354.4378854857612 6.772189427428806e+20 1e-10 1.0 1e-10 1e-10
7531123031.468847 1.405063121892684e+32 1327.8232155038409 6.639116077519205e+20 1e-10 1.0 1e-10 1e-10
7680071238.405076 1.4421647824017565e+32 1302.0712555365178 6.510356277682589e+20 1e-10 1.0 1e-10 1e-10
7829987527.740892 1.4798723383351246e+32 1277.1412425078533 6.385706212539266e+20 1e-10 1.0 1e-10 1e-10
7980878191.485791 1.5181944845079558e+32 1252.9949411667828 6.264974705833914e+20 1e-10 1.0 1e-10 1e-10
