# 1146
radius mass density pressure H He CO Fe
4310246.6788498815 4.340072727282708e+30 12939038947.806816 1.2360215848008e+28 1.3898791546905477e-07 0.00021865718922186206 0.05178656640484548 0.9478253601112983
5434842.526202587 8.620196767227888e+30 12700322122.60771 1.2072891474920186e+28 1.481002396534284e-07 0.0002292937130002054 0.05344497684628838 0.9461509374141551
6383685.951639382 1.383288829590189e+31 12492768581.491812 1.182427977489783e+28 1.5714097192902845e-07 0.00023959759844591314 0.05487983319184582 0.9447007401681649
7265809.343395186 2.0181338181821009e+31 12278663287.788904 1.1569022417212214e+28 1.6756583193678186e-07 0.00025119308013949273 0.05631135171478644 0.9432520493331941
8306789.686430256 2.9729498181826366e+31 12021500583.571243 1.1263906548905145e+28 1.8128167726546385e-07 0.000266023926415489 0.057930393065060884 0.9416113455493362
9157047.075180262 3.931188882760687e+31 11753067840.03347 1.0947301687160013e+28 1.9741772563339947e-07 0.000282735729890067 0.059732667094355554 0.9397848203618495
9889745.44389905 4.8928506675556635e+31 11510372719.94094 1.0662787038770482e+28 2.14265668661811e-07 0.0002996414299459564 0.061291300720365705 0.9382017972761645
10541554.249021636 5.857934737012726e+31 11286408130.597452 1.0401590863715731e+28 2.314277526581689e-07 0.00031634052237334973 0.062619385736264 0.9368500519212863
11133794.417272003 6.826440564072889e+31 11076798597.546602 1.0158480769024671e+28 2.4983968592450675e-07 0.00033377504067572296 0.06381178314743427 0.9356330690370379
11680080.72085027 7.798367529870488e+31 10878833475.527674 9.93001223690563e+27 2.6925971831383577e-07 0.00035167154684567683 0.06487039124033994 0.9345494781287836
12189699.469287224 8.773714923430648e+31 10690579238.436895 9.713766564956339e+27 2.890617997985936e-07 0.0003691422152952314 0.06594414195287383 0.9334513842174573
12669301.517417667 9.752481941373225e+31 10510592555.29292 9.507960522442605e+27 3.097290020337774e-07 0.00038675275913414473 0.06699207022946632 0.9323790252585349
